x,y,label
3.89046959383,3.60352065781,1
0.859876971135,-0.53962247655,-1
3.53860762867,2.39354627959,1
0.284012723457,0.0444208121045,-1
1.1591894304,0.0607348420008,-1
3.45418759001,2.42730766697,1
0.805772870244,-0.854132205888,-1
3.1611932951,3.62338339972,1
2.31303064336,2.3841265996,1
3.35218622917,3.30519149713,1
-0.830333935639,-0.716400852736,-1
3.5576348632,3.48788327718,1
4.72375920463,3.51296408631,1
4.15784437542,2.87603552421,1
-0.623695045268,0.816274147816,-1
0.131162953984,-0.249166207796,-1
-0.460798336419,-0.594629577781,-1
4.75158302995,3.91642589038,1
1.49000747101,0.759625716302,-1
0.810589694143,0.372737248143,-1
